229.66953 109.52655 261.5591,229.12808 108.127884 262.26044,228.50592 106.85342 262.8413
263.96576 367.51874 269.48724,263.87296 366.68954 268.65475,263.2855 365.41354 267.9599
319.381 169.5552 300.59097,318.69153 169.65784 299.41116,317.6775 169.70284 298.26587
260.50388 309.22592 111.08305,260.18076 308.7056 112.466,259.87027 308.46677 113.854294
213.93391 346.00555 211.16556,212.89957 347.1578 212.013,211.71333 348.1394 212.83012
325.34293 366.62573 217.0163,324.27805 367.59232 217.58862,323.27625 368.3376 218.33455
301.0146 179.64784 165.36717,299.76154 179.86942 165.78485,299.1014 180.08855 166.4313
225.08737 370.38968 257.8626,224.28563 371.38058 257.9281,223.45276 372.36923 258.42825
402.69785 172.65143 165.86423,401.07962 173.36597 165.8346,399.30386 173.87871 165.61385
292.23682 145.43916 267.45917,291.50653 146.8396 267.3977,291.19815 148.16313 267.15686
0.0 0.0 0.0,327.7977 142.87035 219.6826,329.28683 138.87877 219.18561
266.96005 157.07129 83.89379,266.34885 157.6006 84.96849,264.72534 157.87296 86.20402
272.43088 105.61763 297.98688,272.1919 104.50266 298.60602,272.17413 103.34739 299.21753
187.06639 158.32329 205.9233,185.91113 158.18364 206.53867,184.76648 157.64099 206.99257
318.65842 372.14 223.58482,317.8119 373.1616 224.02414,316.85712 373.90622 224.4992
187.41487 164.23062 203.81816,186.17744 163.67055 204.38878,185.06198 163.35138 205.22205
266.92303 133.83722 224.85204,266.9218 135.0694 224.5621,267.05585 136.16925 224.63417
292.59027 168.58412 202.4626,292.01535 170.2039 203.28893,292.3802 172.04913 204.34781
317.01688 212.75327 341.4291,316.67737 211.98178 339.9992,316.2633 211.27509 338.57825
217.66504 191.10388 244.54013,216.59352 190.61984 245.37598,215.6453 190.45052 246.38545
287.57257 378.6925 292.5947,286.95413 378.09552 291.5361,286.39206 377.34805 290.50885
302.38382 328.38303 174.19153,301.49304 327.37238 175.43562,300.62073 325.5532 177.17635
0.0 0.0 0.0,303.1388 312.79486 220.84807,302.0078 311.78665 219.6639
248.20361 136.63585 180.99821,247.6239 138.0042 181.18202,246.52849 139.12735 181.97737
292.72464 177.88599 206.85637,291.23236 179.44356 207.2738,290.05737 181.1072 207.59383
327.78702 185.2672 343.9894,327.41483 185.28702 343.01422,327.24835 185.63947 341.89896
306.63776 352.88065 305.75702,305.53836 352.00363 304.73798,304.72818 350.95578 303.67935
284.82043 109.868195 298.15515,284.47006 110.371574 296.6177,284.07944 111.20325 295.48706
322.00928 355.67368 298.36575,321.2034 355.0143 297.33194,320.54376 354.22528 296.3334
181.5798 339.53073 153.03162,180.63327 339.6617 153.16408,179.73605 339.90814 153.42207
0.0 0.0 0.0,362.99615 109.18816 311.00284,363.14456 108.527 311.70206
249.95456 183.9985 238.30945,248.8133 183.65535 239.19963,247.76808 183.00099 239.95747
312.9708 160.01427 211.40672,313.05905 161.052 211.06097,313.527 162.27951 211.29291
304.83252 349.62863 157.9557,305.15536 349.8944 156.84776,305.4504 349.77066 155.79065
287.38928 102.99382 306.97876,286.75543 103.85293 305.49002,286.59076 105.11908 303.98917
274.2988 115.99433 293.12234,274.02402 114.92587 293.83896,273.72134 113.75845 294.29147
0.0 0.0 0.0,294.59012 319.73502 271.53778,293.9342 319.57077 270.9549
289.50958 182.55197 171.35039,288.67032 182.61755 172.10345,287.7447 182.70624 172.71492
320.60553 154.89783 198.16002,319.493 155.78937 197.88342,318.233 156.4181 197.58072
0.0 0.0 0.0,286.13147 355.69748 222.44618,286.244 356.44672 222.48135
247.76537 207.76788 174.82343,247.83139 207.6146 174.68109,246.99289 207.86485 174.44061
270.09955 354.6605 190.42892,269.8784 354.8343 190.1088,269.38724 354.89648 190.06392
322.94284 167.12563 292.9401,322.32834 167.32448 292.1452,322.03882 167.7731 291.11383
296.45944 127.34525 218.37204,296.3361 128.29419 218.99663,295.9816 129.27937 219.73221
241.48726 180.39539 244.43611,240.31044 179.49297 244.71573,239.28752 178.89935 245.2993
313.5331 174.07924 254.37447,312.20496 173.55917 254.20638,310.85895 173.05453 254.04706
313.30002 182.47934 268.06253,312.6102 182.85226 266.37833,311.66873 182.74883 264.82535
0.0 0.0 0.0,283.62112 350.38812 221.57242,283.30872 348.9858 221.95276
323.38516 166.82785 293.70572,322.94284 167.12563 292.9401,322.32834 167.32448 292.1452
309.05905 352.17633 139.58919,309.07822 352.1327 140.21857,308.4879 352.04053 140.76195
246.34058 155.74309 207.85516,245.98706 153.8555 206.4977,245.64143 151.89919 205.14899
311.79163 186.19807 313.701,311.39236 185.97656 312.72388,310.9252 185.70091 311.80316
0.0 0.0 0.0,269.9377 208.23207 238.326,269.85602 208.68683 238.39148
326.6989 145.56998 251.63463,325.01126 146.50774 250.06915,323.02573 147.26843 249.00726
201.06477 155.48027 160.26982,200.01207 154.79941 160.80193,198.7781 153.61383 161.01501
363.3949 118.82299 303.96204,363.2253 117.49801 304.81256,363.12723 116.13767 305.53687
229.8786 147.4346 284.22406,228.03087 145.76515 286.94238,226.8021 144.7516 288.84152
0.0 0.0 0.0,204.5833 163.03026 156.71951,203.6341 162.77647 157.23738
329.43268 117.56107 300.2545,329.3672 116.33231 300.89832,328.7122 115.60031 301.99844
363.1083 115.00318 306.46548,363.20535 113.73471 307.1341,363.27185 112.54469 307.8013
0.0 0.0 0.0,262.9214 183.82442 271.6817,261.73663 183.22025 272.88235
292.04404 194.51703 199.04404,291.176 194.89247 200.17598,290.17502 195.45497 201.17503
230.46306 377.0544 264.05264,229.96771 378.15207 265.00607,230.24815 379.57104 266.07315
249.31723 339.17273 153.29974,248.86131 338.22574 153.37244,248.22011 338.16202 153.4795
316.2633 211.27509 338.57825,315.99835 210.65735 337.06992,315.98495 210.1125 335.43402
367.86157 154.83871 269.8713,370.2421 150.76773 269.32965,371.7508 148.1284 269.42062
245.69199 199.92586 249.53859,245.77388 199.35095 248.26755,246.06934 198.37007 247.21887
306.74786 351.27493 147.291,306.73145 350.95425 148.50497,306.43503 350.83734 149.82149
295.63327 369.79645 266.72086,294.5289 371.69583 268.86108,292.32562 375.7261 272.35828
0.0 0.0 0.0,314.18814 323.57526 289.1695,313.15244 323.40747 288.48508
341.4609 341.5351 127.753235,340.45447 342.17386 126.84638,339.6979 342.63412 125.82569
338.36398 165.29181 261.4736,337.28842 166.17918 260.972,335.9535 166.83574 260.56964
280.09366 161.95096 195.4397,279.77036 163.50539 195.16075,279.25723 164.92752 195.35313
384.86273 177.8013 162.74815,382.64832 177.93065 161.95816,380.655 177.3465 161.29266
314.54037 348.01538 288.81573,314.06378 347.37686 287.44296,313.28894 346.5799 286.33218
298.08392 393.87247 293.70547,297.79437 392.5729 293.03107,297.19305 390.9498 292.25757
304.10004 316.32697 307.12793,303.35327 316.26038 306.2903,302.75333 316.063 305.37613
315.58096 376.76093 278.9582,314.86252 376.34103 277.50504,314.25525 375.52692 276.18317
328.2367 184.73651 289.39114,326.78333 185.24728 287.38202,325.65845 185.61644 285.86862
0.0 0.0 0.0,283.92227 194.77704 209.48335,283.06754 196.13654 210.56029
267.65582 136.16772 234.8639,267.6857 135.09604 234.23213,268.0526 133.6725 233.36841
